version,plan,persona,days,learned,active,ai_calls,cost,eff,max_due,qbl,avg_late,median_late,p90_late,max_late,rejected,tiers,sessions,session_size,avg_stability,median_stability,avg_difficulty,avg_retrievability,median_retrievability,desired_retention,enable_continuous_mastery
v5.0 DSR-lite,silver,eager,90,162,176,275,0.165,981.8,18,29,0.3,0,1,2,0,{},3,5,28.36,32.4,3.26,0.961,0.97,,True
v5.0 DSR-lite,silver,eager,180,298,311,493,0.2958,1007.4,26,29,0.4,0,1,2,0,{},3,5,51.58,58.9,2.9,0.949,0.95,,True
v5.0 DSR-lite,silver,eager,360,519,535,809,0.4854,1069.2,38,32,0.4,0,1,4,0,{},3,5,104.19,108.08,2.56,0.954,0.96,,True
v5.0 DSR-lite,silver,eager,540,740,751,1141,0.6846,1080.9,51,32,0.4,0,1,4,0,{},3,5,155.6,175.37,2.37,0.954,0.96,,True
v5.0 DSR-lite,silver,eager,720,952,966,1434,0.8604,1106.5,51,35,0.4,0,1,4,0,{},3,5,201.4,196.73,2.24,0.95,0.95,,True
v5.0 DSR-lite,silver,average,90,109,117,168,0.1008,1081.3,36,6,0.9,1,2,5,0,{},3,5,23.67,23.27,4.14,0.959,0.96,,True
v5.0 DSR-lite,silver,average,180,204,222,313,0.1878,1086.3,38,8,0.9,1,2,5,0,{},3,5,43.16,43.32,3.89,0.957,0.96,,True
v5.0 DSR-lite,silver,average,360,372,384,560,0.336,1107.1,42,8,0.9,1,3,5,0,{},3,5,87.8,85.82,3.65,0.95,0.95,,True
v5.0 DSR-lite,silver,average,540,531,535,813,0.4878,1088.6,69,11,0.9,1,3,7,0,{},3,5,135.05,134.53,3.53,0.954,0.95,,True
v5.0 DSR-lite,silver,average,720,677,686,1080,0.648,1044.8,69,11,1.0,1,3,7,0,{},3,5,176.59,175.41,3.47,0.95,0.95,,True
v5.0 DSR-lite,silver,fluctuating,90,105,126,167,0.1002,1047.9,59,6,1.5,0,4,9,0,{},3,5,20.68,21.54,4.09,0.956,0.96,,True
v5.0 DSR-lite,silver,fluctuating,180,190,200,289,0.1734,1095.7,64,7,1.7,1,5,11,0,{},3,5,43.95,43.69,3.9,0.953,0.96,,True
v5.0 DSR-lite,silver,fluctuating,360,332,336,498,0.2988,1111.1,64,7,1.7,1,5,11,0,{},3,5,87.64,92.22,3.72,0.951,0.95,,True
v5.0 DSR-lite,silver,fluctuating,540,463,476,702,0.4212,1099.2,64,15,1.7,1,5,11,0,{},3,5,130.49,128.46,3.59,0.953,0.95,,True
v5.0 DSR-lite,silver,fluctuating,720,604,610,914,0.5484,1101.4,64,15,1.7,1,5,11,0,{},3,5,175.33,171.91,3.5,0.954,0.95,,True
v5.0 DSR-lite,silver,lazy,90,56,63,72,0.0432,1296.3,35,1,2.1,1,5,8,0,{},3,5,16.91,17.81,5.49,0.969,0.97,,True
v5.0 DSR-lite,silver,lazy,180,90,97,113,0.0678,1327.4,41,3,2.8,2,6,10,0,{},3,5,34.79,35.14,5.61,0.968,0.97,,True
v5.0 DSR-lite,silver,lazy,360,153,155,184,0.1104,1385.9,55,3,3.5,3,8,14,0,{},3,5,64.0,58.68,5.71,0.93,0.93,,True
v5.0 DSR-lite,silver,lazy,540,203,214,266,0.1596,1271.9,55,3,3.8,3,9,20,0,{},3,5,97.88,98.65,5.67,0.947,0.95,,True
v5.0 DSR-lite,silver,lazy,720,279,287,364,0.2184,1277.5,55,3,3.6,3,8,20,0,{},3,5,123.89,117.39,5.65,0.943,0.94,,True
v5.0 DSR-lite,gold,eager,90,300,333,434,0.2604,1152.1,53,16,0.4,0,1,2,0,{},4,7,25.69,23.18,3.3,0.944,0.95,,True
v5.0 DSR-lite,gold,eager,180,528,569,773,0.4638,1138.4,71,28,0.4,0,1,3,0,{},4,7,51.52,59.74,2.92,0.948,0.95,,True
v5.0 DSR-lite,gold,eager,360,960,991,1433,0.8598,1116.5,71,38,0.4,0,1,3,0,{},4,7,102.09,106.6,2.55,0.951,0.95,,True
v5.0 DSR-lite,gold,eager,540,1371,1390,2032,1.2192,1124.5,71,49,0.4,0,1,3,0,{},4,7,154.11,173.46,2.37,0.953,0.95,,True
v5.0 DSR-lite,gold,eager,720,1713,1729,2558,1.5348,1116.1,75,50,0.5,0,1,3,0,{},4,7,206.0,196.19,2.25,0.95,0.95,,True
v5.0 DSR-lite,gold,average,90,217,239,281,0.1686,1287.1,63,7,0.8,0,2,4,0,{},4,7,23.79,23.5,4.03,0.949,0.95,,True
v5.0 DSR-lite,gold,average,180,400,420,514,0.3084,1297.0,63,7,0.7,0,2,4,0,{},4,7,44.94,43.74,3.81,0.949,0.95,,True
v5.0 DSR-lite,gold,average,360,694,719,912,0.5472,1268.3,101,12,0.9,1,2,7,0,{},4,7,89.7,90.25,3.64,0.949,0.95,,True
v5.0 DSR-lite,gold,average,540,977,997,1290,0.774,1262.3,101,12,0.9,1,2,7,0,{},4,7,136.95,138.49,3.53,0.952,0.95,,True
v5.0 DSR-lite,gold,average,720,1240,1247,1641,0.9846,1259.4,162,13,1.0,1,2,11,0,{},4,7,180.3,178.62,3.45,0.948,0.95,,True
